participant,adjP,adjP10,adjP20,adjP30,condition,points,exploded.balloons,change,age,gender,overall,comfort,smoothness,accuracy,force,mental.effort,physical.effort,finger,wrist,arm,shoulder,neck,I.plan.tasks.carefully.,I.do.things.without.thinking.,I.make.up.my.mind.quickly.,I.am.happy.go.lucky.,I.don.t..pay.attention..,I.have..racing..thoughts.,I.plan.trips.well.ahead.of.time.,I.am.self.controlled.,I.concentrate.easily.,I.save.regularly.,I..squirm..at.plays.or.lectures.,I.am.a.careful.thinker.,I.plan.for.job.security.,I.say.things.without.thinking.,I.like.to.think.about.complex.problems.,I.change.jobs.,I.act..on.impulse..,I.get.easily.bored.when.solving.thought.problems.,I.act.on.the.spur.of.the.moment.,I.am.a.steady.thinker.,I.change.residences.,I.buy.things.on.impulse.,I.can.only.think.about.one.thing.at.a.time.,I.change.hobbies.,I.spend.or.charge.more.than.I.earn.,I.often.have.extraneous.thoughts.when.thinking.,I.am.more.interested.in.the.present.than.the.future.,I.am.restless.at.the.theater.or.lectures.,I.like.puzzles.,I.am.future.oriented.,BIS_index,BIS
1,56.875,56.5,55.8,58.4,expansive,910,14,3.36283185840708,21,female,5,5,5,5,1,1,1,3,2,1,1,1,occasionally,occasionally,almost always / always,occasionally,occasionally,occasionally,often,often,occasionally,often,rarely / never,occasionally,occasionally,occasionally,rarely / never,occasionally,occasionally,often,occasionally,often,rarely / never,often,occasionally,occasionally,occasionally,often,occasionally,occasionally,often,often,69,high
2,34.3636363636364,27.875,40.1428571428571,36,constrictive,756,8,29.1479820627803,20,female,3,3,4,4,3,4,2,2,2,2,2,2,often,rarely / never,occasionally,occasionally,occasionally,occasionally,often,often,often,occasionally,occasionally,often,occasionally,occasionally,often,occasionally,occasionally,rarely / never,occasionally,occasionally,occasionally,occasionally,rarely / never,rarely / never,rarely / never,occasionally,often,occasionally,occasionally,often,60,low
3,65.5,61,59,76.5,expansive,786,18,25.4098360655738,33,female,4,2,5,5,2,1,2,1,3,1,1,1,often,rarely / never,often,occasionally,occasionally,rarely / never,almost always / always,often,often,almost always / always,rarely / never,almost always / always,occasionally,rarely / never,almost always / always,occasionally,occasionally,rarely / never,occasionally,often,occasionally,rarely / never,often,occasionally,rarely / never,occasionally,almost always / always,occasionally,often,occasionally,55,low
4,31.7727272727273,24.5714285714286,32.75,37.8571428571429,constrictive,699,8,54.0697674418604,19,female,5,4,5,4,1,3,1,2,1,3,1,1,occasionally,often,rarely / never,often,occasionally,occasionally,often,occasionally,rarely / never,rarely / never,occasionally,often,often,often,rarely / never,rarely / never,occasionally,occasionally,often,rarely / never,occasionally,almost always / always,almost always / always,occasionally,often,almost always / always,rarely / never,occasionally,occasionally,often,79,high
5,53.8333333333333,64.7142857142857,54,41,expansive,969,12,-36.644591611479,29,female,5,3,5,5,4,1,3,4,5,4,4,3,often,often,often,often,rarely / never,occasionally,often,often,occasionally,almost always / always,rarely / never,occasionally,rarely / never,occasionally,often,occasionally,often,often,often,occasionally,often,often,rarely / never,rarely / never,rarely / never,occasionally,occasionally,often,rarely / never,almost always / always,69,high
6,43.2941176470588,35.1428571428571,52.4,45.6,constrictive,736,13,29.7560975609756,29,female,5,4,4,5,3,1,1,2,3,2,3,3,often,rarely / never,occasionally,occasionally,rarely / never,rarely / never,often,almost always / always,often,almost always / always,rarely / never,almost always / always,occasionally,rarely / never,almost always / always,occasionally,rarely / never,rarely / never,occasionally,almost always / always,rarely / never,often,rarely / never,rarely / never,rarely / never,rarely / never,occasionally,rarely / never,almost always / always,often,43,low
7,35.1,25.1428571428571,38.4285714285714,42.8333333333333,expansive,702,10,70.3598484848485,33,female,5,5,5,5,2,2,3,3,3,3,3,3,often,occasionally,occasionally,often,rarely / never,occasionally,often,often,often,often,often,occasionally,often,occasionally,often,occasionally,often,rarely / never,occasionally,occasionally,occasionally,occasionally,rarely / never,occasionally,rarely / never,occasionally,rarely / never,occasionally,often,almost always / always,59,low
8,61.5294117647059,51.8571428571429,62.1666666666667,77.5,constrictive,1046,13,49.4490358126722,42,female,5,5,4,5,3,5,3,3,4,4,4,4,occasionally,occasionally,often,often,rarely / never,occasionally,rarely / never,almost always / always,often,occasionally,occasionally,often,almost always / always,occasionally,often,occasionally,occasionally,occasionally,occasionally,occasionally,rarely / never,almost always / always,rarely / never,rarely / never,often,often,often,rarely / never,rarely / never,often,67,high
9,41.65,31.2857142857143,43.8571428571429,51.1666666666667,expansive,833,10,63.5464231354642,54,female,5,5,5,5,2,1,2,2,1,1,1,1,occasionally,occasionally,often,occasionally,rarely / never,rarely / never,occasionally,often,almost always / always,occasionally,rarely / never,occasionally,occasionally,occasionally,occasionally,occasionally,often,occasionally,occasionally,occasionally,occasionally,often,rarely / never,occasionally,rarely / never,rarely / never,often,occasionally,often,often,64,high
10,34.4782608695652,29.625,36.875,37.2857142857143,constrictive,793,7,25.8589511754069,19,female,5,5,5,5,5,5,2,1,1,3,3,1,occasionally,almost always / always,almost always / always,often,occasionally,almost always / always,almost always / always,occasionally,often,often,often,rarely / never,often,almost always / always,often,often,almost always / always,occasionally,almost always / always,occasionally,often,often,rarely / never,occasionally,rarely / never,almost always / always,occasionally,occasionally,rarely / never,often,83,high
